x:0.03	y:-0.29	z:1.12	t:15937.00
x:-0.00	y:-0.42	z:0.98	t:15954.00
x:0.00	y:-0.39	z:0.92	t:15970.00
x:0.03	y:-0.14	z:0.96	t:15987.00
x:0.05	y:-0.04	z:0.93	t:16004.00
x:0.04	y:-0.05	z:0.93	t:16020.00
x:0.03	y:-0.15	z:1.00	t:16037.00
x:0.04	y:-0.07	z:0.89	t:16053.00
x:0.05	y:0.03	z:0.93	t:16070.00
x:0.04	y:0.05	z:0.99	t:16087.00
x:0.06	y:-0.03	z:1.06	t:16104.00
x:0.06	y:-0.07	z:1.01	t:16120.00
x:0.07	y:-0.04	z:0.96	t:16137.00
x:0.07	y:-0.07	z:0.95	t:16153.00
x:0.06	y:-0.10	z:0.96	t:16170.00
x:0.07	y:-0.03	z:0.99	t:16187.00
x:0.06	y:-0.01	z:1.00	t:16203.00
x:0.05	y:-0.05	z:0.98	t:16220.00
x:0.06	y:-0.09	z:0.93	t:16237.00
x:0.06	y:-0.13	z:0.96	t:16254.00
x:0.07	y:-0.07	z:1.00	t:16270.00
x:0.08	y:-0.01	z:0.95	t:16287.00
x:0.07	y:-0.04	z:0.94	t:16304.00
x:0.07	y:-0.06	z:0.93	t:16320.00
x:0.07	y:-0.10	z:0.93	t:16337.00
x:0.08	y:-0.09	z:0.94	t:16353.00
x:0.09	y:0.02	z:0.98	t:16370.00

x:0.19	y:1.53	z:1.33	t:17379.00
x:0.11	y:0.77	z:1.04	t:17395.00
x:0.08	y:0.22	z:1.02	t:17412.00
x:0.11	y:0.13	z:1.08	t:17428.00
x:0.09	y:0.14	z:0.90	t:17445.00
x:0.07	y:0.04	z:0.89	t:17462.00
x:0.05	y:-0.07	z:0.89	t:17479.00
x:0.04	y:-0.23	z:0.92	t:17495.00
x:0.07	y:-0.08	z:1.04	t:17512.00
x:0.06	y:-0.01	z:0.88	t:17528.00
x:0.06	y:0.06	z:0.99	t:17545.00
x:0.07	y:0.04	z:0.99	t:17562.00
x:0.04	y:-0.09	z:0.95	t:17579.00
x:0.05	y:-0.05	z:0.94	t:17595.00
x:0.05	y:-0.04	z:0.93	t:17612.00
x:0.06	y:-0.00	z:0.99	t:17628.00
x:0.06	y:-0.02	z:0.99	t:17645.00
x:0.05	y:-0.02	z:1.00	t:17662.00
x:0.05	y:-0.04	z:0.96	t:17679.00
x:0.05	y:-0.04	z:0.99	t:17695.00
x:0.06	y:0.01	z:1.00	t:17712.00
x:0.05	y:-0.08	z:0.98	t:17728.00
x:-0.01	y:-0.30	z:1.00	t:17745.00
x:-0.07	y:-0.63	z:1.37	t:17762.00
x:-0.11	y:-1.28	z:1.68	t:17778.00
x:-0.53	y:-1.93	z:1.31	t:17795.00
x:-0.32	y:-0.64	z:0.95	t:17812.00
x:-0.29	y:-0.43	z:0.78	t:17828.00
x:-0.43	y:-0.42	z:0.94	t:17845.00
x:-0.58	y:-0.72	z:0.96	t:17862.00
x:-0.63	y:0.06	z:0.77	t:17879.00
x:-0.47	y:0.93	z:0.69	t:17895.00
x:-0.27	y:1.63	z:0.81	t:17912.00
x:0.04	y:2.07	z:0.71	t:17928.00
x:0.01	y:1.53	z:0.68	t:17945.00
x:0.03	y:1.25	z:0.64	t:17962.00
x:0.07	y:1.36	z:0.78	t:17979.00
x:0.02	y:1.43	z:0.84	t:17995.00
x:-0.17	y:1.08	z:0.86	t:18012.00
x:-0.38	y:0.52	z:0.79	t:18028.00
x:-0.34	y:0.27	z:0.73	t:18045.00
x:-0.35	y:0.02	z:0.65	t:18062.00
x:-0.21	y:-0.02	z:0.92	t:18079.00
x:-0.15	y:0.09	z:1.12	t:18095.00
x:-0.12	y:0.04	z:1.11	t:18112.00
x:-0.12	y:-0.21	z:1.01	t:18128.00
x:-0.07	y:-0.51	z:1.00	t:18145.00
x:-0.03	y:-0.54	z:1.07	t:18162.00
x:-0.00	y:-0.72	z:1.16	t:18179.00
x:0.04	y:-0.49	z:1.16	t:18195.00
x:0.07	y:-0.38	z:1.15	t:18212.00
x:0.08	y:-0.37	z:1.08	t:18228.00
x:0.08	y:-0.35	z:0.93	t:18245.00
x:0.09	y:-0.34	z:0.96	t:18262.00
x:0.09	y:-0.20	z:0.99	t:18279.00
x:0.09	y:-0.04	z:0.93	t:18295.00
x:0.09	y:-0.08	z:0.83	t:18312.00
x:0.08	y:-0.11	z:0.91	t:18328.00
x:0.09	y:-0.13	z:0.97	t:18345.00
x:0.10	y:-0.06	z:0.91	t:18362.00
x:0.10	y:0.01	z:0.91	t:18379.00
x:0.09	y:-0.02	z:0.92	t:18395.00
x:0.10	y:-0.06	z:1.02	t:18412.00
x:0.09	y:-0.12	z:1.05	t:18428.00
x:0.08	y:-0.14	z:0.96	t:18445.00
x:0.10	y:0.00	z:0.90	t:18462.00
x:0.08	y:0.00	z:1.02	t:18478.00
x:0.08	y:-0.07	z:1.09	t:18495.00
x:0.07	y:-0.12	z:0.98	t:18512.00
x:0.06	y:-0.11	z:0.95	t:18528.00
x:0.08	y:-0.06	z:0.98	t:18545.00
x:0.08	y:-0.02	z:0.97	t:18562.00
x:0.08	y:-0.00	z:0.97	t:18579.00
x:0.07	y:-0.05	z:0.95	t:18595.00
x:0.06	y:-0.10	z:0.93	t:18612.00
x:0.07	y:-0.07	z:0.90	t:18628.00
x:0.06	y:-0.11	z:0.93	t:18645.00
x:0.09	y:0.08	z:0.97	t:18662.00
x:0.08	y:0.00	z:0.99	t:18679.00
x:0.05	y:-0.11	z:0.99	t:18695.00
x:0.06	y:-0.05	z:0.92	t:18712.00
x:0.06	y:-0.08	z:0.96	t:18728.00
x:0.06	y:-0.06	z:1.01	t:18745.00
x:0.09	y:0.11	z:1.01	t:18762.00
x:0.07	y:-0.02	z:0.95	t:18779.00
x:0.05	y:-0.13	z:0.99	t:18795.00
x:0.06	y:-0.06	z:0.94	t:18812.00
x:0.07	y:-0.01	z:0.92	t:18828.00
x:0.08	y:-0.01	z:1.01	t:18845.00
x:0.08	y:0.02	z:0.96	t:18862.00
x:0.08	y:0.01	z:0.91	t:18879.00
x:0.06	y:-0.08	z:0.98	t:18895.00
x:0.06	y:-0.08	z:0.96	t:18912.00
x:0.07	y:-0.04	z:0.94	t:18928.00
x:0.08	y:0.02	z:1.00	t:18945.00
x:0.07	y:-0.04	z:0.99	t:18962.00
x:0.05	y:-0.08	z:0.96	t:18978.00
x:0.07	y:-0.03	z:0.96	t:18995.00
x:0.06	y:-0.04	z:0.96	t:19012.00
x:0.06	y:-0.03	z:0.97	t:19028.00

x:0.24	y:0.97	z:1.14	t:19645.00
x:0.17	y:0.61	z:0.94	t:19661.00
x:0.11	y:0.14	z:0.99	t:19678.00
x:0.12	y:0.20	z:1.06	t:19695.00
x:0.03	y:-0.08	z:0.84	t:19712.00
x:0.05	y:-0.32	z:0.87	t:19728.00
